'id','meta_series','month_year','region_id','std_margin_percentage'
1,'378',2023-09-01,1,0.2
2,'7S3',2023-09-01,1,0.19
3,'419',2023-09-01,1,0.12
4,'827',2023-09-01,1,0.17
5,'891',2023-09-01,1,0.2
6,'476',2023-09-01,1,0.16
7,'477',2023-09-01,1,0.12
8,'292',2023-09-01,1,0.12
9,'896',2023-09-01,1,0.21
10,'432',2023-09-01,1,0.08
11,'225',2023-09-01,5,0.18
12,'268',2023-09-01,1,0.16
13,'968',2023-09-01,1,0.16
14,'118',2023-09-01,1,0.22
15,'474',2023-09-01,1,0.16
16,'470',2023-09-01,1,0.05
17,'295',2023-09-01,1,0.08
18,'815',2023-09-01,1,0.11
19,'460',2023-09-01,1,0.15
20,'099',2023-09-01,1,0.15
21,'463',2023-09-01,1,0.05
22,'007',2023-09-01,1,0.05
23,'019',2023-09-01,1,0.05
24,'238',2023-09-01,1,0.05
25,'3C0',2023-09-01,1,0.1
26,'214',2023-09-01,1,0.01
27,'366',2023-09-01,1,0.12
28,'289',2023-09-01,1,0.0
29,'008',2023-09-01,1,0.03
30,'917',2023-09-01,1,0.01
31,'222',2023-09-01,1,0.01
32,'001',2023-09-01,1,0.13
33,'810',2023-09-01,1,0.13
34,'268',2023-09-01,5,0.27
35,'968',2023-09-01,5,0.3
36,'985',2023-09-01,5,0.19
37,'099',2023-09-01,5,0.26
38,'955',2023-09-01,5,0.21
39,'7S4',2023-09-01,5,0.2
40,'265',2023-09-01,5,0.25
41,'815',2023-09-01,5,0.1
42,'118',2023-09-01,5,0.1
43,'457',2023-09-01,5,0.13
44,'474',2023-09-01,5,0.2
45,'185',2023-09-01,5,0.23
46,'495',2023-09-01,5,0.26
47,'820',2023-09-01,5,0.26
48,'444',2023-09-01,5,0.14
49,'419',2023-09-01,5,0.23
50,'7R5',2023-09-01,5,0.21
51,'3B0',2023-09-01,5,0.21
52,'3C3',2023-09-01,5,0.18
53,'3B6',2023-09-01,5,0.21
54,'7R6',2023-09-01,5,0.21
55,'290',2023-09-01,5,0.24
56,'875',2023-09-01,5,0.19
57,'878',2023-09-01,5,0.22
58,'019',2023-09-01,5,0.12
59,'877',2023-09-01,5,0.09
60,'222',2023-09-01,5,0.05
61,'238',2023-09-01,5,0.08
62,'366',2023-09-01,5,0.14
63,'299',2023-09-01,5,0.17
64,'3C0',2023-09-01,5,0.13
65,'268',2023-09-01,2,0.27
66,'968',2023-09-01,2,0.29
67,'985',2023-09-01,2,0.19
68,'99',2023-09-01,2,0.24
69,'955',2023-09-01,2,0.19
70,'976',2023-09-01,2,0.14
71,'815',2023-09-01,2,0.1
72,'826',2023-09-01,2,0.22
73,'457',2023-09-01,2,0.06
74,'474',2023-09-01,2,0.19
75,'495',2023-09-01,2,0.24
76,'820',2023-09-01,2,0.18
77,'419',2023-09-01,2,0.18
78,'290',2023-09-01,2,0.23
79,'1',2023-09-01,2,0.14
80,'810',2023-09-01,2,0.14
81,'177',2023-09-01,2,0.19
82,'5',2023-09-01,2,0.19
83,'6',2023-09-01,2,0.22
84,'878',2023-09-01,2,0.17
85,'3D0',2023-09-01,2,0.2
86,'7T0',2023-09-01,2,0.21
87,'19',2023-09-01,2,0.12
88,'877',2023-09-01,2,0.09
89,'236',2023-09-01,2,0.09
90,'8',2023-09-01,2,0.09
91,'917',2023-09-01,2,0.05
92,'222',2023-09-01,2,0.03
93,'238',2023-09-01,2,0.08
94,'117',2023-09-01,2,0.05
95,'366',2023-09-01,2,0.12
96,'299',2023-09-01,2,0.09
97,'117',2023-09-01,2,0.05
98,'117',2023-09-01,2,0.05
99,'117',2023-09-01,2,0.05
100,'117',2023-09-01,2,0.05
101,'276',2023-09-01,4,0.08
102,'976',2023-09-01,4,0.08
103,'985',2023-09-01,4,0.1
104,'915',2023-09-01,4,0.12
105,'435',2023-09-01,4,0.05
106,'815',2023-09-01,4,0.05
107,'849',2023-09-01,4,0.05
108,'406',2023-09-01,4,0.05
109,'843',2023-09-01,4,0.04
110,'956',2023-09-01,4,0.2
111,'6W9',2023-09-01,4,0.25
